"set_id","card_id","card_name","quantity"
"A2","1","Mystherbe","9"
"A2","2","Ortide","9"
"A2","3","Joliflor","5"
"A2","4","Saquedeneu","6"
"A2","5","Bouldeneu","5"
"A2","6","Yanma","7"
"A2","7","Yanméga ex","2"
"A2","8","Rosélia","15"
"A2","9","Roserade","9"
"A2","10","Tortipouss","5"
"A2","11","Boskara","2"
"A2","12","Torterra","1"
"A2","13","Crikzik","2"
"A2","14","Mélokrik","7"
"A2","15","Cheniti","16"
"A2","16","Cheniselle","16"
"A2","17","Apitrini","8"
"A2","18","Apireine","7"
"A2","19","Vortente","2"
"A2","20","Phyllali","1"
"A2","21","Motisma Tonte","20"
"A2","22","Shaymin","1"
"A2","23","Magmar","6"
"A2","24","Maganon","1"
"A2","25","Limagma","13"
"A2","26","Volcaropod","11"
"A2","27","Ouisticram","11"
"A2","28","Chimpenfeu","5"
"A2","29","Simiabraz ex","2"
"A2","30","Motisma Chaleur","23"
"A2","31","Marcacrin","11"
"A2","32","Cochignon","5"
"A2","33","Mammochon","4"
"A2","34","Regice","2"
"A2","35","Tiplouf","6"
"A2","36","Prinplouf","3"
"A2","37","Pingoléon","1"
"A2","38","Mustébouée","11"
"A2","39","Mustéflott","6"
"A2","40","Sancoki","7"
"A2","41","Tritosor","4"
"A2","42","Écayon","17"
"A2","43","Luminéon","8"
"A2","44","Blizzi","15"
"A2","45","Blizzaroi","9"
"A2","46","Givrali","1"
"A2","47","Motisma Lavage","15"
"A2","48","Motisma Froid","15"
"A2","49","Palkia ex","1"
"A2","50","Manaphy","12"
"A2","51","Magnéti","6"
"A2","52","Magnéton","8"
"A2","53","Magnézone","6"
"A2","54","Voltorbe","19"
"A2","55","Électrode","13"
"A2","56","Élektek","8"
"A2","57","Élekable","3"
"A2","58","Lixy","10"
"A2","59","Luxio","5"
"A2","60","Luxray","2"
"A2","61","Pachirisu ex","2"
"A2","62","Motisma","4"
"A2","63","Togepi","19"
"A2","64","Togetic","3"
"A2","65","Togekiss","4"
"A2","66","Feuforêve","3"
"A2","67","Magirêve ex","1"
"A2","68","Tarsal","13"
"A2","69","Kirlia","5"
"A2","70","Skelénox","9"
"A2","71","Téraclope","4"
"A2","72","Noctunoir","1"
"A2","73","Baudrive","7"
"A2","74","Grodrive","2"
"A2","75","Créhelf","7"
"A2","76","Créfollet","4"
"A2","77","Créfadet","14"
"A2","78","Giratina","1"
"A2","79","Cresselia","2"
"A2","80","Rhinocorne","7"
"A2","81","Rhinoféros","4"
"A2","82","Rhinastoc","1"
"A2","83","Scorplane","8"
"A2","84","Scorvol","8"
"A2","85","Kapoera","5"
